Battery_power_mAh,Bluetooh,Speed_of_microprocessor,Dual_sim,Front_camera,4G,Internal_memeory_gb,Mobile_depth,Mobile_weight,Cores_of_processor,Primary_camera,px_height,Pixel_width,Ram_mb,Screen_height,Screen_weight,talk_time,3G,touch_screen,wifi,price_range
1015 mAh,Yes,0.8,No,5 pixels,No,12 gb,0.5 cm,102 g,3,14 pixels,335 ppcm,679 ppcm,2293 mb,5 cm,1 cm,2,No,Yes,No,Medium cost
1824 mAh,Yes,1.9,Yes,9 pixels,Yes,2 gb,0.7 cm,103 g,1,14 pixels,50 ppcm,1105 ppcm,3958 mb,12 cm,2 cm,19,Yes,Yes,No,Very High cost
1130 mAh,Yes,0.5,Yes,1 pixels,Yes,29 gb,0.7 cm,130 g,1,14 pixels,593 ppcm,1327 ppcm,432 mb,6 cm,1 cm,10,Yes,Yes,Yes,Low cost
1183 mAh,Yes,0.5,Yes,3 pixels,Yes,48 gb,0.1 cm,120 g,8,12 pixels,268 ppcm,1010 ppcm,1152 mb,8 cm,3 cm,3,Yes,No,No,Low cost
574 mAh,Yes,2.0,Yes,0 pixels,Yes,26 gb,0.5 cm,118 g,6,2 pixels,382 ppcm,1364 ppcm,1303 mb,8 cm,4 cm,2,Yes,No,Yes,Low cost
1472 mAh,No,3.0,No,4 pixels,Yes,20 gb,0.3 cm,169 g,2,6 pixels,443 ppcm,892 ppcm,797 mb,6 cm,1 cm,11,Yes,Yes,No,Low cost
1868 mAh,Yes,0.5,No,2 pixels,Yes,40 gb,0.9 cm,179 g,8,17 pixels,576 ppcm,884 ppcm,298 mb,8 cm,2 cm,17,Yes,Yes,No,Low cost
1375 mAh,No,2.9,No,2 pixels,No,20 gb,0.4 cm,147 g,6,7 pixels,596 ppcm,679 ppcm,3847 mb,8 cm,0 cm,12,Yes,No,Yes,Very High cost
881 mAh,No,1.0,No,1 pixels,No,64 gb,0.5 cm,160 g,3,6 pixels,115 ppcm,636 ppcm,2110 mb,18 cm,9 cm,6,Yes,Yes,Yes,Medium cost
1742 mAh,Yes,0.5,Yes,5 pixels,Yes,43 gb,0.9 cm,176 g,3,7 pixels,356 ppcm,1407 ppcm,1921 mb,9 cm,2 cm,3,Yes,Yes,No,High cost
1225 mAh,No,0.7,Yes,6 pixels,No,60 gb,0.1 cm,107 g,2,15 pixels,10 ppcm,1567 ppcm,2423 mb,17 cm,11 cm,6,Yes,No,No,High cost
1970 mAh,Yes,0.5,Yes,0 pixels,Yes,15 gb,1.0 cm,132 g,2,0 pixels,1399 ppcm,1684 ppcm,1658 mb,15 cm,9 cm,20,Yes,Yes,Yes,High cost
1186 mAh,Yes,0.5,Yes,2 pixels,No,21 gb,0.4 cm,160 g,8,4 pixels,68 ppcm,584 ppcm,2361 mb,17 cm,8 cm,7,Yes,No,No,Medium cost
1762 mAh,No,0.7,No,7 pixels,No,60 gb,0.1 cm,157 g,4,10 pixels,643 ppcm,790 ppcm,1380 mb,14 cm,5 cm,14,Yes,No,No,Medium cost
1731 mAh,Yes,1.4,Yes,4 pixels,Yes,4 gb,0.5 cm,163 g,6,18 pixels,809 ppcm,1988 ppcm,3892 mb,5 cm,1 cm,4,Yes,Yes,Yes,Very High cost
852 mAh,No,1.8,Yes,5 pixels,Yes,8 gb,0.8 cm,160 g,5,9 pixels,683 ppcm,1349 ppcm,315 mb,7 cm,6 cm,20,Yes,No,No,Low cost
848 mAh,Yes,1.5,Yes,4 pixels,Yes,36 gb,0.3 cm,151 g,4,16 pixels,56 ppcm,527 ppcm,2289 mb,10 cm,2 cm,19,Yes,Yes,Yes,Medium cost
1575 mAh,No,2.5,Yes,0 pixels,Yes,11 gb,0.2 cm,185 g,7,20 pixels,492 ppcm,818 ppcm,2182 mb,7 cm,3 cm,17,Yes,Yes,No,High cost
1554 mAh,No,2.8,Yes,7 pixels,No,23 gb,0.1 cm,105 g,6,18 pixels,699 ppcm,1492 ppcm,2184 mb,13 cm,9 cm,20,Yes,No,Yes,High cost
1972 mAh,Yes,1.6,No,0 pixels,No,48 gb,0.5 cm,92 g,8,2 pixels,290 ppcm,804 ppcm,2872 mb,7 cm,2 cm,11,Yes,No,Yes,Very High cost
827 mAh,Yes,0.6,Yes,9 pixels,Yes,35 gb,0.2 cm,87 g,6,17 pixels,23 ppcm,826 ppcm,2367 mb,5 cm,3 cm,15,Yes,No,Yes,Medium cost
1063 mAh,No,1.5,No,7 pixels,No,3 gb,0.9 cm,155 g,4,10 pixels,394 ppcm,849 ppcm,1919 mb,12 cm,10 cm,20,Yes,Yes,No,Medium cost
1695 mAh,No,2.3,Yes,1 pixels,No,34 gb,0.4 cm,84 g,5,10 pixels,713 ppcm,1742 ppcm,3296 mb,17 cm,6 cm,14,No,No,No,Very High cost
1343 mAh,No,2.4,Yes,5 pixels,Yes,14 gb,0.9 cm,81 g,8,10 pixels,1063 ppcm,1205 ppcm,462 mb,18 cm,7 cm,11,Yes,Yes,Yes,Low cost
834 mAh,No,0.5,No,2 pixels,Yes,27 gb,0.2 cm,123 g,1,16 pixels,1421 ppcm,1463 ppcm,1591 mb,11 cm,9 cm,20,Yes,Yes,No,Medium cost
595 mAh,No,2.6,No,0 pixels,Yes,20 gb,0.4 cm,122 g,2,18 pixels,623 ppcm,816 ppcm,1593 mb,19 cm,11 cm,2,Yes,No,Yes,Low cost
1081 mAh,Yes,1.9,Yes,13 pixels,Yes,42 gb,0.1 cm,101 g,7,17 pixels,83 ppcm,816 ppcm,2456 mb,7 cm,4 cm,7,Yes,No,No,Medium cost
911 mAh,No,1.4,Yes,3 pixels,No,14 gb,0.7 cm,199 g,4,4 pixels,1563 ppcm,1692 ppcm,2933 mb,16 cm,3 cm,11,No,Yes,No,Very High cost
844 mAh,No,2.2,Yes,1 pixels,Yes,22 gb,0.9 cm,197 g,7,2 pixels,777 ppcm,1995 ppcm,3154 mb,14 cm,11 cm,7,Yes,No,No,Very High cost
1335 mAh,Yes,3.0,No,3 pixels,No,60 gb,0.8 cm,180 g,2,4 pixels,83 ppcm,559 ppcm,3615 mb,5 cm,2 cm,9,Yes,No,No,Very High cost
1883 mAh,No,1.6,No,9 pixels,No,24 gb,0.1 cm,87 g,1,16 pixels,203 ppcm,915 ppcm,3563 mb,17 cm,10 cm,3,No,No,No,Very High cost
1128 mAh,Yes,0.5,Yes,6 pixels,No,33 gb,0.6 cm,147 g,8,7 pixels,938 ppcm,1226 ppcm,1440 mb,17 cm,15 cm,19,Yes,No,No,Medium cost
826 mAh,Yes,2.4,Yes,14 pixels,Yes,57 gb,0.6 cm,117 g,2,17 pixels,1077 ppcm,1183 ppcm,1907 mb,15 cm,14 cm,5,Yes,No,No,Medium cost
1650 mAh,No,2.3,No,0 pixels,Yes,38 gb,0.7 cm,89 g,1,1 pixels,773 ppcm,881 ppcm,324 mb,14 cm,10 cm,2,Yes,Yes,Yes,Low cost
1162 mAh,No,1.0,No,0 pixels,No,50 gb,0.5 cm,104 g,4,10 pixels,332 ppcm,866 ppcm,1404 mb,10 cm,3 cm,15,Yes,Yes,Yes,Medium cost
1517 mAh,No,2.5,No,2 pixels,Yes,8 gb,0.8 cm,169 g,4,18 pixels,570 ppcm,1645 ppcm,2738 mb,18 cm,16 cm,12,Yes,No,No,High cost
963 mAh,No,0.5,No,1 pixels,Yes,60 gb,0.8 cm,156 g,3,3 pixels,742 ppcm,821 ppcm,2722 mb,12 cm,6 cm,16,Yes,No,No,High cost
1837 mAh,No,1.0,Yes,5 pixels,Yes,12 gb,0.9 cm,103 g,8,6 pixels,1420 ppcm,1539 ppcm,2294 mb,8 cm,7 cm,20,Yes,No,Yes,Very High cost
1028 mAh,Yes,2.8,No,1 pixels,Yes,30 gb,0.1 cm,193 g,1,10 pixels,1801 ppcm,1923 ppcm,1424 mb,18 cm,4 cm,13,Yes,No,Yes,Medium cost
1831 mAh,Yes,2.2,Yes,4 pixels,No,55 gb,1.0 cm,189 g,8,9 pixels,1693 ppcm,1790 ppcm,1133 mb,14 cm,3 cm,10,No,Yes,No,Medium cost
571 mAh,Yes,2.0,Yes,5 pixels,Yes,58 gb,0.6 cm,101 g,6,11 pixels,31 ppcm,1536 ppcm,555 mb,19 cm,10 cm,11,Yes,No,Yes,Low cost
1770 mAh,Yes,2.3,No,0 pixels,No,9 gb,0.6 cm,183 g,6,5 pixels,1098 ppcm,1373 ppcm,3785 mb,13 cm,10 cm,14,Yes,No,Yes,Very High cost
970 mAh,Yes,1.3,Yes,5 pixels,No,59 gb,0.2 cm,84 g,7,19 pixels,1765 ppcm,1786 ppcm,3675 mb,12 cm,0 cm,12,No,No,No,Very High cost
642 mAh,Yes,0.5,No,0 pixels,Yes,38 gb,0.8 cm,86 g,5,10 pixels,887 ppcm,1775 ppcm,435 mb,9 cm,2 cm,2,Yes,Yes,No,Low cost
622 mAh,Yes,1.9,Yes,12 pixels,No,11 gb,0.8 cm,193 g,8,14 pixels,760 ppcm,1964 ppcm,3183 mb,5 cm,0 cm,4,Yes,Yes,Yes,High cost
600 mAh,Yes,1.8,No,9 pixels,Yes,6 gb,0.8 cm,199 g,2,15 pixels,486 ppcm,1032 ppcm,3495 mb,17 cm,4 cm,7,Yes,Yes,No,High cost
1412 mAh,No,0.6,No,9 pixels,No,57 gb,0.2 cm,86 g,3,10 pixels,2 ppcm,660 ppcm,1853 mb,15 cm,10 cm,18,No,No,Yes,Medium cost
733 mAh,No,0.8,No,7 pixels,No,16 gb,0.4 cm,138 g,4,12 pixels,202 ppcm,1787 ppcm,2648 mb,12 cm,0 cm,19,Yes,Yes,No,High cost
1070 mAh,Yes,3.0,No,9 pixels,No,19 gb,0.8 cm,160 g,7,16 pixels,90 ppcm,1614 ppcm,2647 mb,14 cm,13 cm,20,No,Yes,No,High cost
875 mAh,Yes,0.7,Yes,1 pixels,No,30 gb,0.7 cm,146 g,8,8 pixels,469 ppcm,853 ppcm,702 mb,19 cm,15 cm,15,Yes,Yes,Yes,Low cost
1994 mAh,Yes,0.7,No,5 pixels,No,5 gb,0.4 cm,189 g,2,7 pixels,86 ppcm,1546 ppcm,1836 mb,12 cm,11 cm,18,Yes,No,No,High cost
823 mAh,No,1.0,Yes,9 pixels,Yes,18 gb,0.2 cm,182 g,5,16 pixels,1180 ppcm,1350 ppcm,3894 mb,13 cm,10 cm,9,Yes,Yes,No,Very High cost
1908 mAh,No,0.5,No,9 pixels,Yes,30 gb,1.0 cm,111 g,2,19 pixels,140 ppcm,1046 ppcm,2944 mb,19 cm,17 cm,17,Yes,No,Yes,Very High cost
790 mAh,No,0.5,Yes,7 pixels,Yes,44 gb,0.1 cm,89 g,8,8 pixels,1100 ppcm,1437 ppcm,3424 mb,13 cm,11 cm,9,Yes,Yes,No,Very High cost
1330 mAh,Yes,1.8,Yes,1 pixels,No,40 gb,0.5 cm,177 g,1,5 pixels,194 ppcm,892 ppcm,2678 mb,9 cm,4 cm,14,Yes,Yes,Yes,High cost
1660 mAh,No,0.5,No,2 pixels,Yes,15 gb,0.7 cm,100 g,8,8 pixels,440 ppcm,569 ppcm,2424 mb,12 cm,5 cm,9,Yes,Yes,No,High cost
1776 mAh,No,2.2,No,2 pixels,No,20 gb,0.9 cm,82 g,6,16 pixels,1563 ppcm,1803 ppcm,2671 mb,15 cm,10 cm,12,No,Yes,Yes,Very High cost
1611 mAh,No,0.5,Yes,4 pixels,Yes,27 gb,0.9 cm,199 g,1,10 pixels,163 ppcm,1011 ppcm,3078 mb,15 cm,2 cm,6,Yes,No,Yes,High cost
1410 mAh,Yes,0.5,Yes,0 pixels,Yes,15 gb,0.3 cm,92 g,3,1 pixels,192 ppcm,1311 ppcm,2304 mb,18 cm,4 cm,18,Yes,Yes,No,High cost
1772 mAh,Yes,1.6,No,17 pixels,Yes,45 gb,0.5 cm,159 g,2,18 pixels,837 ppcm,1405 ppcm,1146 mb,6 cm,1 cm,17,Yes,Yes,No,Medium cost
1280 mAh,Yes,1.3,No,0 pixels,Yes,39 gb,1.0 cm,108 g,7,1 pixels,356 ppcm,588 ppcm,2335 mb,6 cm,4 cm,2,Yes,No,Yes,Medium cost
1712 mAh,Yes,0.9,Yes,2 pixels,No,23 gb,1.0 cm,155 g,7,19 pixels,155 ppcm,663 ppcm,1422 mb,5 cm,0 cm,15,Yes,Yes,No,Medium cost
1562 mAh,Yes,0.7,No,0 pixels,No,55 gb,0.1 cm,140 g,8,1 pixels,1032 ppcm,1776 ppcm,2096 mb,15 cm,3 cm,3,No,No,No,High cost
891 mAh,No,1.9,Yes,1 pixels,Yes,18 gb,0.1 cm,153 g,6,3 pixels,40 ppcm,1435 ppcm,1303 mb,17 cm,16 cm,4,Yes,Yes,Yes,Low cost
1957 mAh,No,1.2,Yes,18 pixels,Yes,36 gb,0.8 cm,151 g,2,19 pixels,1194 ppcm,1727 ppcm,1115 mb,16 cm,2 cm,18,Yes,No,Yes,Medium cost
1110 mAh,No,0.6,No,1 pixels,No,42 gb,0.9 cm,192 g,5,2 pixels,1179 ppcm,1262 ppcm,456 mb,12 cm,8 cm,18,Yes,Yes,No,Low cost
875 mAh,Yes,1.4,Yes,1 pixels,Yes,43 gb,0.6 cm,104 g,8,3 pixels,902 ppcm,969 ppcm,3396 mb,14 cm,2 cm,18,Yes,No,No,Very High cost
1211 mAh,Yes,1.2,No,0 pixels,No,28 gb,0.3 cm,130 g,2,3 pixels,58 ppcm,963 ppcm,2750 mb,6 cm,1 cm,14,No,Yes,No,High cost
769 mAh,No,0.5,Yes,12 pixels,Yes,54 gb,0.2 cm,112 g,4,19 pixels,1385 ppcm,1780 ppcm,941 mb,15 cm,8 cm,20,Yes,No,Yes,Low cost
671 mAh,No,2.9,No,7 pixels,Yes,2 gb,0.1 cm,95 g,6,19 pixels,614 ppcm,1617 ppcm,2278 mb,13 cm,4 cm,2,Yes,No,No,High cost
1872 mAh,No,0.5,No,5 pixels,Yes,26 gb,0.5 cm,172 g,4,10 pixels,672 ppcm,1088 ppcm,2273 mb,8 cm,4 cm,8,Yes,No,Yes,High cost
1076 mAh,No,2.3,Yes,0 pixels,Yes,14 gb,0.7 cm,191 g,5,0 pixels,1088 ppcm,1718 ppcm,2355 mb,17 cm,16 cm,2,Yes,Yes,Yes,High cost
1325 mAh,No,1.9,No,2 pixels,No,50 gb,0.1 cm,146 g,1,10 pixels,499 ppcm,695 ppcm,2328 mb,17 cm,10 cm,2,Yes,No,No,High cost
911 mAh,Yes,2.2,Yes,1 pixels,Yes,28 gb,0.5 cm,182 g,2,2 pixels,157 ppcm,763 ppcm,2638 mb,8 cm,4 cm,13,Yes,Yes,Yes,Medium cost
1273 mAh,Yes,0.7,No,1 pixels,No,23 gb,0.6 cm,178 g,6,14 pixels,485 ppcm,1399 ppcm,558 mb,8 cm,5 cm,13,Yes,No,No,Low cost
1062 mAh,No,0.5,No,3 pixels,Yes,39 gb,0.9 cm,124 g,4,4 pixels,571 ppcm,817 ppcm,1345 mb,16 cm,0 cm,11,Yes,No,Yes,Low cost
1317 mAh,No,1.5,No,6 pixels,No,12 gb,0.1 cm,154 g,2,9 pixels,431 ppcm,542 ppcm,425 mb,7 cm,0 cm,11,Yes,Yes,Yes,Low cost
940 mAh,No,2.9,No,0 pixels,No,16 gb,0.7 cm,115 g,4,1 pixels,499 ppcm,1090 ppcm,2192 mb,15 cm,13 cm,9,Yes,Yes,Yes,Medium cost
729 mAh,Yes,2.0,No,0 pixels,No,14 gb,0.6 cm,135 g,6,2 pixels,563 ppcm,1055 ppcm,3397 mb,19 cm,15 cm,17,Yes,No,Yes,High cost
1494 mAh,No,2.4,No,6 pixels,Yes,3 gb,0.9 cm,93 g,7,17 pixels,944 ppcm,1003 ppcm,1208 mb,14 cm,13 cm,17,Yes,Yes,No,Medium cost
1546 mAh,Yes,1.6,Yes,2 pixels,Yes,27 gb,0.7 cm,124 g,2,6 pixels,1138 ppcm,1491 ppcm,267 mb,12 cm,10 cm,16,Yes,Yes,No,Low cost
1253 mAh,No,0.7,No,0 pixels,Yes,34 gb,0.9 cm,113 g,4,10 pixels,161 ppcm,647 ppcm,3518 mb,7 cm,3 cm,8,Yes,Yes,Yes,Very High cost
895 mAh,No,0.5,Yes,6 pixels,No,16 gb,0.3 cm,164 g,8,14 pixels,126 ppcm,1575 ppcm,3122 mb,7 cm,0 cm,4,No,No,Yes,High cost
793 mAh,Yes,1.9,Yes,0 pixels,Yes,43 gb,0.3 cm,124 g,8,2 pixels,15 ppcm,1196 ppcm,1050 mb,11 cm,9 cm,3,Yes,Yes,Yes,Low cost
1628 mAh,Yes,1.8,Yes,11 pixels,No,56 gb,0.1 cm,136 g,2,13 pixels,500 ppcm,1713 ppcm,3358 mb,17 cm,11 cm,12,Yes,Yes,Yes,Very High cost
625 mAh,No,2.7,Yes,2 pixels,No,42 gb,0.8 cm,138 g,8,3 pixels,203 ppcm,1771 ppcm,2929 mb,10 cm,4 cm,17,Yes,No,No,High cost
1110 mAh,No,1.5,No,2 pixels,Yes,12 gb,0.3 cm,153 g,8,5 pixels,961 ppcm,1950 ppcm,624 mb,9 cm,7 cm,15,Yes,No,No,Low cost
999 mAh,No,1.7,No,6 pixels,No,49 gb,0.6 cm,132 g,1,17 pixels,608 ppcm,1970 ppcm,1598 mb,7 cm,0 cm,8,No,Yes,No,Medium cost
1856 mAh,No,0.5,Yes,0 pixels,Yes,24 gb,0.1 cm,155 g,5,1 pixels,277 ppcm,1155 ppcm,2052 mb,17 cm,6 cm,10,Yes,Yes,No,High cost
1715 mAh,No,2.6,Yes,9 pixels,Yes,15 gb,0.6 cm,120 g,6,20 pixels,114 ppcm,1849 ppcm,1249 mb,16 cm,2 cm,4,Yes,Yes,No,Medium cost
1897 mAh,Yes,1.9,No,2 pixels,Yes,54 gb,0.3 cm,154 g,2,7 pixels,630 ppcm,738 ppcm,412 mb,17 cm,11 cm,2,Yes,No,No,Low cost
1202 mAh,Yes,2.4,Yes,0 pixels,No,19 gb,0.1 cm,122 g,2,1 pixels,404 ppcm,1742 ppcm,595 mb,19 cm,0 cm,3,No,No,No,Low cost
1171 mAh,Yes,1.7,Yes,2 pixels,No,19 gb,0.3 cm,167 g,7,19 pixels,248 ppcm,755 ppcm,263 mb,6 cm,5 cm,8,No,No,No,Low cost
964 mAh,No,2.0,No,0 pixels,Yes,22 gb,0.7 cm,86 g,8,0 pixels,225 ppcm,1234 ppcm,2577 mb,17 cm,16 cm,5,Yes,Yes,No,High cost
1973 mAh,Yes,2.4,Yes,6 pixels,No,46 gb,0.1 cm,193 g,4,10 pixels,699 ppcm,851 ppcm,639 mb,6 cm,0 cm,3,No,No,Yes,Low cost
1992 mAh,Yes,0.6,Yes,11 pixels,No,2 gb,0.1 cm,141 g,1,14 pixels,649 ppcm,895 ppcm,3206 mb,10 cm,9 cm,10,Yes,Yes,No,Very High cost
546 mAh,Yes,2.6,Yes,5 pixels,No,26 gb,1.0 cm,159 g,5,15 pixels,416 ppcm,1658 ppcm,1550 mb,7 cm,2 cm,3,No,Yes,No,Medium cost
1093 mAh,No,0.5,No,1 pixels,Yes,31 gb,0.6 cm,171 g,2,12 pixels,1310 ppcm,1420 ppcm,1646 mb,12 cm,0 cm,6,Yes,Yes,No,Medium cost
1880 mAh,Yes,2.0,No,11 pixels,No,35 gb,0.1 cm,200 g,4,14 pixels,930 ppcm,1983 ppcm,1930 mb,17 cm,7 cm,15,No,Yes,No,High cost
1765 mAh,No,1.1,No,3 pixels,No,11 gb,0.7 cm,87 g,2,7 pixels,835 ppcm,1175 ppcm,3695 mb,6 cm,5 cm,18,Yes,No,No,Very High cost
1640 mAh,No,0.5,Yes,1 pixels,Yes,36 gb,0.9 cm,87 g,8,11 pixels,664 ppcm,1806 ppcm,3235 mb,6 cm,1 cm,10,Yes,No,Yes,Very High cost
1830 mAh,No,0.5,No,0 pixels,No,7 gb,0.9 cm,191 g,6,12 pixels,460 ppcm,1583 ppcm,2334 mb,8 cm,7 cm,14,No,Yes,No,High cost
826 mAh,No,0.6,No,3 pixels,No,62 gb,0.7 cm,187 g,4,19 pixels,778 ppcm,1615 ppcm,1998 mb,17 cm,4 cm,17,No,No,No,Medium cost
1864 mAh,No,2.2,No,0 pixels,Yes,7 gb,0.1 cm,142 g,1,2 pixels,225 ppcm,1545 ppcm,2258 mb,10 cm,1 cm,10,Yes,No,No,High cost
586 mAh,Yes,0.6,No,16 pixels,Yes,42 gb,0.3 cm,121 g,7,17 pixels,785 ppcm,1118 ppcm,1869 mb,12 cm,2 cm,7,Yes,Yes,Yes,Medium cost
1206 mAh,No,3.0,Yes,10 pixels,Yes,30 gb,0.6 cm,127 g,3,13 pixels,1581 ppcm,1713 ppcm,1825 mb,7 cm,1 cm,4,Yes,No,Yes,High cost
832 mAh,Yes,0.5,Yes,1 pixels,Yes,5 gb,0.1 cm,165 g,5,2 pixels,9 ppcm,1944 ppcm,3946 mb,12 cm,5 cm,14,Yes,Yes,Yes,Very High cost
848 mAh,Yes,2.8,No,1 pixels,No,8 gb,0.1 cm,103 g,7,3 pixels,7 ppcm,1294 ppcm,436 mb,10 cm,6 cm,15,Yes,Yes,Yes,Low cost
1851 mAh,No,2.9,No,0 pixels,No,53 gb,0.7 cm,112 g,6,2 pixels,174 ppcm,1175 ppcm,2678 mb,6 cm,0 cm,8,Yes,No,No,High cost
1166 mAh,Yes,0.5,No,7 pixels,No,59 gb,0.5 cm,80 g,1,11 pixels,437 ppcm,638 ppcm,3887 mb,8 cm,6 cm,7,Yes,No,Yes,Very High cost
1776 mAh,Yes,2.1,Yes,10 pixels,No,35 gb,0.1 cm,172 g,4,16 pixels,278 ppcm,623 ppcm,1813 mb,16 cm,13 cm,20,Yes,Yes,Yes,Medium cost
1254 mAh,Yes,1.2,No,2 pixels,Yes,27 gb,0.2 cm,134 g,2,10 pixels,1288 ppcm,1372 ppcm,817 mb,14 cm,1 cm,16,Yes,Yes,Yes,Low cost
1494 mAh,No,1.6,Yes,4 pixels,Yes,24 gb,0.2 cm,101 g,1,17 pixels,979 ppcm,1190 ppcm,3614 mb,15 cm,12 cm,9,Yes,No,No,Very High cost
984 mAh,Yes,2.2,Yes,0 pixels,Yes,39 gb,0.5 cm,119 g,8,18 pixels,56 ppcm,1931 ppcm,2013 mb,11 cm,7 cm,16,Yes,Yes,No,Medium cost
1179 mAh,Yes,0.8,No,1 pixels,No,5 gb,0.9 cm,154 g,5,17 pixels,913 ppcm,1429 ppcm,543 mb,8 cm,7 cm,18,No,No,Yes,Low cost
513 mAh,No,1.9,No,8 pixels,No,27 gb,0.4 cm,174 g,8,13 pixels,282 ppcm,710 ppcm,3400 mb,16 cm,6 cm,13,No,Yes,Yes,High cost
557 mAh,No,0.5,Yes,3 pixels,No,17 gb,0.2 cm,89 g,6,4 pixels,322 ppcm,710 ppcm,2623 mb,17 cm,16 cm,16,No,No,No,Medium cost
744 mAh,No,1.7,Yes,0 pixels,Yes,33 gb,0.5 cm,105 g,4,2 pixels,1252 ppcm,1963 ppcm,2700 mb,9 cm,3 cm,19,Yes,No,No,High cost
1129 mAh,Yes,0.8,Yes,9 pixels,Yes,21 gb,0.6 cm,116 g,2,10 pixels,1128 ppcm,1702 ppcm,1400 mb,11 cm,0 cm,13,Yes,Yes,No,Medium cost
1148 mAh,No,2.3,Yes,0 pixels,Yes,58 gb,0.3 cm,170 g,5,20 pixels,606 ppcm,688 ppcm,3127 mb,10 cm,7 cm,11,Yes,No,No,High cost
1793 mAh,No,2.7,No,12 pixels,Yes,44 gb,0.7 cm,175 g,5,17 pixels,655 ppcm,1459 ppcm,2803 mb,19 cm,9 cm,6,Yes,Yes,Yes,Very High cost
1310 mAh,No,2.3,Yes,3 pixels,No,15 gb,0.2 cm,150 g,5,11 pixels,954 ppcm,970 ppcm,2518 mb,18 cm,17 cm,5,No,Yes,Yes,High cost
1604 mAh,No,1.2,No,1 pixels,No,6 gb,0.5 cm,191 g,6,15 pixels,68 ppcm,1042 ppcm,3564 mb,7 cm,2 cm,2,Yes,Yes,No,Very High cost
1676 mAh,No,1.6,No,2 pixels,No,37 gb,0.2 cm,145 g,1,3 pixels,134 ppcm,1197 ppcm,2515 mb,14 cm,8 cm,4,Yes,No,Yes,High cost
1001 mAh,No,2.8,Yes,1 pixels,No,40 gb,0.2 cm,117 g,3,7 pixels,922 ppcm,1836 ppcm,3654 mb,13 cm,9 cm,10,Yes,Yes,Yes,Very High cost
1086 mAh,No,2.7,No,0 pixels,Yes,24 gb,0.1 cm,135 g,8,19 pixels,1874 ppcm,1976 ppcm,3930 mb,17 cm,1 cm,18,Yes,Yes,Yes,Very High cost
1986 mAh,Yes,0.5,Yes,7 pixels,Yes,39 gb,0.1 cm,89 g,7,19 pixels,251 ppcm,599 ppcm,3476 mb,11 cm,8 cm,17,Yes,Yes,No,Very High cost
634 mAh,Yes,0.8,No,5 pixels,No,41 gb,0.2 cm,192 g,1,12 pixels,1362 ppcm,1853 ppcm,3242 mb,18 cm,11 cm,4,Yes,No,Yes,Very High cost
502 mAh,No,0.8,No,7 pixels,No,52 gb,1.0 cm,82 g,6,8 pixels,281 ppcm,1159 ppcm,2666 mb,5 cm,4 cm,20,Yes,Yes,No,High cost
1641 mAh,No,1.1,No,6 pixels,No,48 gb,0.7 cm,97 g,8,7 pixels,224 ppcm,1994 ppcm,1695 mb,13 cm,6 cm,17,Yes,No,Yes,High cost
623 mAh,No,1.4,Yes,0 pixels,Yes,15 gb,0.2 cm,189 g,3,1 pixels,778 ppcm,844 ppcm,3510 mb,14 cm,4 cm,18,Yes,No,Yes,High cost
962 mAh,Yes,1.1,Yes,3 pixels,No,17 gb,0.1 cm,161 g,8,20 pixels,546 ppcm,1424 ppcm,3438 mb,14 cm,3 cm,20,No,No,No,Very High cost
1057 mAh,Yes,2.7,No,3 pixels,Yes,41 gb,0.1 cm,97 g,4,10 pixels,397 ppcm,891 ppcm,2033 mb,16 cm,9 cm,2,Yes,Yes,No,Medium cost
1862 mAh,No,1.5,No,1 pixels,No,62 gb,1.0 cm,182 g,1,2 pixels,386 ppcm,1046 ppcm,1017 mb,11 cm,3 cm,9,Yes,No,No,Medium cost
555 mAh,Yes,3.0,Yes,5 pixels,Yes,38 gb,0.8 cm,193 g,2,10 pixels,214 ppcm,1970 ppcm,1686 mb,8 cm,1 cm,8,Yes,No,Yes,Medium cost
1000 mAh,No,2.7,No,1 pixels,Yes,58 gb,1.0 cm,135 g,5,12 pixels,461 ppcm,833 ppcm,862 mb,7 cm,0 cm,20,Yes,No,No,Low cost
841 mAh,No,0.5,No,6 pixels,Yes,11 gb,0.3 cm,81 g,5,14 pixels,125 ppcm,675 ppcm,957 mb,6 cm,5 cm,11,Yes,Yes,No,Low cost
865 mAh,No,2.9,No,5 pixels,No,16 gb,0.1 cm,89 g,4,12 pixels,335 ppcm,1009 ppcm,3494 mb,13 cm,3 cm,14,No,No,Yes,Very High cost
999 mAh,No,2.6,Yes,11 pixels,Yes,56 gb,1.0 cm,165 g,4,13 pixels,342 ppcm,1641 ppcm,3083 mb,8 cm,4 cm,11,Yes,Yes,Yes,High cost
1232 mAh,No,1.2,No,12 pixels,No,30 gb,0.9 cm,131 g,6,14 pixels,625 ppcm,761 ppcm,1656 mb,8 cm,4 cm,15,Yes,Yes,Yes,Medium cost
1194 mAh,No,2.3,No,6 pixels,Yes,34 gb,0.2 cm,165 g,2,12 pixels,494 ppcm,509 ppcm,313 mb,15 cm,1 cm,19,Yes,Yes,No,Low cost
612 mAh,Yes,0.5,Yes,1 pixels,Yes,20 gb,0.8 cm,179 g,8,6 pixels,1145 ppcm,1487 ppcm,3282 mb,16 cm,2 cm,18,Yes,Yes,Yes,Very High cost
